place,time,magnitude,longitude,latitude,depth(km)
"5km WNW of Tecumseh, Oklahoma","2016-09-17T17:05:47Z","2.5","-96.9984","35.2695","6.158"
"59km NE of Arctic Village, Alaska","2016-09-17T16:49:15Z","3.4","-144.6941","68.5568","15.8"
"41km SSW of Puerto El Triunfo, El Salvador","2016-09-17T16:27:47Z","4.9","-88.7589","12.9723","62.92"
"79km NW of Kish, Iran","2016-09-17T15:31:19Z","4.3","53.3711","26.9726","33.74"
"33km WNW of Vanimo, Papua New Guinea","2016-09-17T15:28:35Z","4.4","141.0145","-2.5955","38.13"
"50km NNW of Jayapura, Indonesia","2016-09-17T14:34:10Z","5.1","140.6001","-2.0845","27.21"
"69km SE of Ofunato, Japan","2016-09-17T13:39:45Z","4.6","142.3321","38.6666","34.71"
"9km WNW of Belle Plaine, Kansas","2016-09-17T13:18:16Z","2.9","-97.3831","37.4106","5"
"108km N of Road Town, British Virgin Islands","2016-09-17T12:24:46Z","2.5","-64.647","19.4001","63"
"60km S of Little Sitkin Island, Alaska","2016-09-17T12:15:54Z","2.5","178.3902","51.4062","34.8"
"246km NNE of Ndoi Island, Fiji","2016-09-17T11:02:47Z","4.8","-177.6522","-18.6579","630.5"
"7km NNE of Avenal, California","2016-09-17T10:48:20Z","2.63","-120.09","36.0615","16.54"
"48km SSE of Tanaga Volcano, Alaska","2016-09-17T09:58:14Z","3.2","-177.7773","51.5079","63.4"
"6km NNE of Avenal, California","2016-09-17T09:41:52Z","3.19","-120.0905","36.0536667","17.65"
"97km S of Padangsidempuan, Indonesia","2016-09-17T09:29:53Z","4.7","99.4075","0.5005","107.68"
"9km SSE of Jauca, Puerto Rico","2016-09-17T09:24:32Z","2.7","-66.3445","17.8852","4"
"26km WSW of Changji, China","2016-09-17T09:00:08Z","4.3","87.0305","43.9042","10"
"293km NW of Visokoi Island, South Georgia and the South Sandwich Islands","2016-09-17T08:28:54Z","4.9","-30.5574","-54.8658","10"
"9km WNW of Cobb, California","2016-09-17T08:14:35Z","2.72","-122.8295","38.8388333","2.36"
"22km SE of Hasaki, Japan","2016-09-17T07:35:53Z","4.5","141.0312","35.6075","9.36"
"38km W of Lae, Papua New Guinea","2016-09-17T07:09:44Z","4.6","146.6411","-6.6921","114.44"
"53km NNW of Jayapura, Indonesia","2016-09-17T06:23:14Z","4.9","140.5868","-2.0586","10"
"62km NE of Punta Cana, Dominican Republic","2016-09-17T06:20:44Z","3","-67.96","18.9575","98"
"11km S of Medford, Oklahoma","2016-09-17T06:18:53Z","2.9","-97.7376","36.7001","2.79"
"11km N of Cherokee, Oklahoma","2016-09-17T06:08:08Z","3.2","-98.3362","36.8582","2.46"
"47km W of Anchor Point, Alaska","2016-09-17T05:39:41Z","2.9","-152.6842","59.7747","79.1"
"71km SW of Homer, Alaska","2016-09-17T05:19:14Z","2.6","-152.3421","59.1427","60.5"
"32km W of Arauco, Chile","2016-09-17T03:55:57Z","4.6","-73.6826","-37.3012","17.66"
"20km NW of Medford, Oklahoma","2016-09-17T02:45:22Z","2.5","-97.9037","36.9278","5"
"26km ESE of Emajagua, Puerto Rico","2016-09-17T02:39:55Z","2.6","-65.6538","17.8971","11"
"7km NE of Norsup, Vanuatu","2016-09-17T02:31:59Z","6","167.4309","-16.013","36.76"
"259km S of False Pass, Alaska","2016-09-17T02:31:18Z","2.9","-162.8042","52.5489","10"
"66km SW of Pagaralam, Indonesia","2016-09-17T02:30:57Z","5.5","102.8411","-4.4357","60.33"
"54km NNW of Jayapura, Indonesia","2016-09-17T02:06:35Z","5.1","140.5609","-2.0609","10"
"48km S of Atka, Alaska","2016-09-17T01:36:30Z","3","-174.1654","51.7564","44.1"
"48km NNW of Jayapura, Indonesia","2016-09-17T01:20:18Z","5.9","140.5721","-2.1156","10"
"13km NNE of Otra Banda, Dominican Republic","2016-09-17T00:38:53Z","3.3","-68.599","18.752","121"
"18km SSW of Sequim, Washington","2016-09-17T00:29:39Z","2.77","-123.2313333","47.936","40.72"
"31km NW of Fairview, Oklahoma","2016-09-16T23:55:34Z","3.5","-98.7587","36.4475","6.39"
"265km SSW of Severo-Kuril'sk, Russia","2016-09-16T23:28:25Z","4.7","154.659","48.4898","55.75"
"49km SSW of Tanaga Volcano, Alaska","2016-09-16T23:24:27Z","2.9","-178.4809","51.4939","16"
"226km SSW of Sarangani, Philippines","2016-09-16T23:04:19Z","4.2","124.4726","3.6094","315.62"
"186km WSW of Bella Bella, Canada","2016-09-16T19:46:52Z","4.3","-130.6602","51.5862","10"
"Southwest Indian Ridge","2016-09-16T18:38:05Z","5.4","60.934","-29.1395","10"
"9km ESE of Alva, Oklahoma","2016-09-16T18:01:28Z","3","-98.561","36.7824","5"
"263km S of L'Esperance Rock, New Zealand","2016-09-16T17:42:32Z","4.8","-179.3549","-33.7754","53.46"
"168km ESE of Katsuura, Japan","2016-09-16T17:12:31Z","4.6","141.9572","34.4676","27.68"
"South of the Fiji Islands","2016-09-16T15:50:07Z","4.8","-176.9783","-24.8732","116.89"
"43km SW of Chernabura Island, Alaska","2016-09-16T14:59:28Z","3.3","-159.9605","54.4701","6.1"
"74km SSW of Nikolski, Alaska","2016-09-16T14:15:17Z","3.2","-169.3945","52.351","14"
"South Sandwich Islands region","2016-09-16T12:04:38Z","5.3","-30.9843","-54.7352","10"
"75km NNW of San Antonio, Puerto Rico","2016-09-16T11:59:54Z","3.1","-67.3294","19.141","29"
"67km NNW of San Antonio, Puerto Rico","2016-09-16T11:58:14Z","3.1","-67.2711","19.0779","23"
"78km N of San Antonio, Puerto Rico","2016-09-16T11:57:05Z","3.1","-67.2311","19.1912","24"
"82km E of Old Iliamna, Alaska","2016-09-16T10:26:21Z","3.1","-153.4762","59.618","116.5"
"37km SSW of Agrihan, Northern Mariana Islands","2016-09-16T09:28:36Z","4.4","145.5732","18.4447","182.31"
"195km NW of Sola, Vanuatu","2016-09-16T08:22:09Z","4.8","166.4161","-12.5069","72.23"
"3km ESE of Kalbay, Philippines","2016-09-16T07:50:47Z","5.3","125.5222","5.7091","203.45"
"17km NNW of Mantoudion, Greece","2016-09-16T06:55:14Z","4.2","23.3905","38.9406","7.8"
"7km N of Ellis, Kansas","2016-09-16T05:51:09Z","2.6","-99.5767","39.0036","1.17"
"Kepulauan Barat Daya, Indonesia","2016-09-16T05:44:27Z","4.7","128.2194","-7.5687","167.25"
"17km S of Amatignak Island, Alaska","2016-09-16T05:42:38Z","2.5","-179.1484","51.1075","17.5"
"202km SSW of Kiska Volcano, Alaska","2016-09-16T05:28:18Z","3.2","176.6702","50.3758","34"
"70km SSW of Redoubt Volcano, Alaska","2016-09-16T04:03:19Z","3.2","-153.128","59.885","105.6"
"7km NNW of Ellis, Kansas","2016-09-16T03:55:18Z","3.1","-99.5872","39.007","5.83"
"8km N of Ellis, Kansas","2016-09-16T02:58:27Z","3.2","-99.5587","39.0115","5"
"171km N of Raoul Island, New Zealand","2016-09-16T02:38:39Z","4.8","-177.6383","-27.738","115.56"
"10km NE of Aratoca, Colombia","2016-09-16T02:37:40Z","4.2","-72.9518","6.7532","172.15"
"Central Mid-Atlantic Ridge","2016-09-16T02:13:13Z","4.8","-28.0652","0.757","10"
"106km SE of Atka, Alaska","2016-09-16T01:59:29Z","3.1","-173.0086","51.5847","28.8"
"63km WSW of Ferndale, California","2016-09-16T01:48:48Z","3","-124.9655","40.3791667","3.24"
"27km WSW of Mendota, California","2016-09-16T00:36:31Z","2.54","-120.6425","36.6195","5.59"
"6km S of La Libertad, Guatemala","2016-09-16T00:30:53Z","4.5","-91.8306","15.4416","166.33"
"9km SSE of Beaver, Utah","2016-09-15T23:17:19Z","2.66","-112.6191667","38.1956667","8.79"
"10km W of Herriman, Utah","2016-09-15T22:47:24Z","2.51","-112.1551667","40.5231667","-2"
"64km S of Sand Point, Alaska","2016-09-15T22:30:30Z","2.9","-160.5946","54.7576","25.8"
"113km ESE of Akutan, Alaska","2016-09-15T20:13:10Z","3.8","-164.1961","53.7192","40"
"49km SE of Saparua, Indonesia","2016-09-15T19:45:55Z","5.5","128.9966","-3.858","113"
"14km S of Little Sitkin Island, Alaska","2016-09-15T18:41:51Z","3.3","178.5088","51.822","94.8"
"116km ESE of Akutan, Alaska","2016-09-15T17:19:03Z","2.7","-164.1588","53.7065","41.1"
"114km ESE of Akutan, Alaska","2016-09-15T16:54:02Z","4.5","-164.1566","53.7528","41"
"132km SE of Akutan, Alaska","2016-09-15T16:53:45Z","4.2","-164.1477","53.4394","32.96"
"55km ESE of Iquique, Chile","2016-09-15T15:37:51Z","4.4","-69.6336","-20.3635","77.14"
"25km S of Canete, Chile","2016-09-15T15:31:07Z","4.5","-73.4499","-38.0298","24.97"
"30km ENE of Palomares, Mexico","2016-09-15T13:46:44Z","5.1","-94.8009","17.2504","51.65"
"119km SE of Cold Bay, Alaska","2016-09-15T13:44:18Z","2.9","-161.5485","54.3532","38.3"
"71km WSW of Atka, Alaska","2016-09-15T12:17:46Z","2.9","-175.2139","52.059","70.7"
"52km E of Amatignak Island, Alaska","2016-09-15T11:57:27Z","4.4","-178.3676","51.1896","38.41"
"15km ESE of Y, Alaska","2016-09-15T11:30:19Z","2.8","-149.5814","62.1135","44.7"
"76km E of Chernabura Island, Alaska","2016-09-15T09:42:22Z","4.3","-158.3816","54.729","16.54"
"48km SSE of Amukta Island, Alaska","2016-09-15T09:28:53Z","3.5","-171.0571","52.0704","37.8"
"71km N of Charlotte Amalie, U.S. Virgin Islands","2016-09-15T09:26:04Z","2.5","-64.9555","18.9874","29"
"19km NNE of Nagarote, Nicaragua","2016-09-15T07:45:44Z","4.3","-86.5095","12.4374","10"
"23km NNE of Nagarote, Nicaragua","2016-09-15T07:14:56Z","4.4","-86.5048","12.4703","10"
"2km W of Tabalosos, Peru","2016-09-15T06:42:24Z","4.6","-76.7042","-6.3523","29.45"
"12km NNE of La Paz Centro, Nicaragua","2016-09-15T05:57:24Z","5.4","-86.6352","12.4501","10"
"75km N of Culebra, Puerto Rico","2016-09-15T05:12:34Z","3.1","-65.22","18.9773","31"
"22km ENE of Lindsborg, Kansas","2016-09-15T03:55:20Z","2.5","-97.4408","38.6653","5"
"60km NNW of Poso, Indonesia","2016-09-15T03:28:55Z","4.2","120.5394","-0.891","30.35"
"198km SW of Port Blair, India","2016-09-15T02:30:48Z","5","91.6828","10.2111","25.75"
"31km NW of Fairview, Oklahoma","2016-09-15T02:07:30Z","2.5","-98.7466","36.4476","5"
"27km ENE of Honaunau-Napoopoo, Hawaii","2016-09-15T01:14:46Z","3.4","-155.6096667","19.5223333","13.475"
"46km SSE of Little Sitkin Island, Alaska","2016-09-15T00:46:20Z","2.7","178.7235","51.5518","44.6"
"135km SSW of Amatignak Island, Alaska","2016-09-14T23:26:31Z","2.8","179.9139","50.2175","34.4"
"7km ENE of Edmond, Oklahoma","2016-09-14T22:43:57Z","2.7","-97.401","35.6744","5.68"
"97km NNW of Yakutat, Alaska","2016-09-14T22:30:48Z","2.5","-140.6774","60.285","22.4"
"162km W of Honiara, Solomon Islands","2016-09-14T21:32:01Z","4.8","158.476","-9.588","14.69"
"87km WSW of Vallenar, Chile","2016-09-14T21:16:16Z","4.7","-71.508","-29.0008","19.27"
"189km NNE of Mayo, Canada","2016-09-14T20:40:12Z","2.7","-134.7379","65.2132","13.8"
"126km ESE of Katsuura, Japan","2016-09-14T20:16:08Z","4.6","141.4813","34.5466","29.82"
"12km NNW of Sawirara, Indonesia","2016-09-14T19:23:56Z","4.6","119.4401","-9.2827","101.01"
"58km ESE of Yunaska Island, Alaska","2016-09-14T18:39:49Z","2.8","-169.9011","52.433","46.7"
"Izu Islands, Japan region","2016-09-14T18:19:37Z","4.4","140.8846","30.0022","92.72"
"72km NNW of Visokoi Island, South Georgia and the South Sandwich Islands","2016-09-14T18:03:26Z","5.2","-27.5746","-56.0855","115.09"
"169km NE of Gisborne, New Zealand","2016-09-14T17:55:37Z","5.2","179.2719","-37.5056","8.11"
"32km NW of Fairview, Oklahoma","2016-09-14T17:13:45Z","3.7","-98.7567","36.4532","4.43"
"8km ESE of Muisne, Ecuador","2016-09-14T16:50:36Z","4.7","-79.9646","0.5673","6.27"
"178km NE of Gisborne, New Zealand","2016-09-14T16:09:27Z","4.7","179.1604","-37.3271","10"
"198km ESE of Kimbe, Papua New Guinea","2016-09-14T16:06:34Z","4.3","151.8428","-6.1249","10"
"25km E of Honaunau-Napoopoo, Hawaii","2016-09-14T16:04:42Z","2.85","-155.6203333","19.4316667","3.402"
"28km NE of Mutata, Colombia","2016-09-14T15:59:34Z","4.8","-76.2278","7.3934","10"
"12km S of Little Sitkin Island, Alaska","2016-09-14T14:37:08Z","3","178.5206","51.8411","110.4"
"7km N of Ellis, Kansas","2016-09-14T12:12:08Z","3.5","-99.5713","39.0096","5"
"28km SSW of Esperanza, Puerto Rico","2016-09-14T12:05:40Z","2.5","-65.5568","17.85","13"
"30km ENE of Mutata, Colombia","2016-09-14T12:02:51Z","4.7","-76.1638","7.3131","10"
"32km SE of Jarm, Afghanistan","2016-09-14T11:26:51Z","4.4","71.0532","36.6289","228.06"
"50km SE of Unalaska, Alaska","2016-09-14T10:35:31Z","3","-166.0189","53.5444","56.5"
"25km SSW of Dzuyl, Mongolia","2016-09-14T09:32:36Z","4.9","93.7655","46.0981","16"
"North of Ascension Island","2016-09-14T09:18:25Z","4.9","-14.3036","-1.2382","10"
"88km W of Honiara, Solomon Islands","2016-09-14T07:24:59Z","6","159.1458","-9.3681","10"
"21km SSE of Semisopochnoi Island, Alaska","2016-09-14T07:03:30Z","2.6","179.7556","51.7882","100.7"
"31km ENE of Mutata, Colombia","2016-09-14T06:46:59Z","4.9","-76.163","7.3397","10"
"Kuril Islands","2016-09-14T06:21:19Z","4.7","153.7115","47.4648","56.64"
"Southwest Indian Ridge","2016-09-14T06:02:31Z","4.7","60.9558","-29.2335","10"
"80km SSE of Nikolski, Alaska","2016-09-14T05:58:27Z","2.5","-168.597","52.2315","38.9"
"12km SE of Esperanza, Puerto Rico","2016-09-14T04:28:42Z","2.6","-65.385","18.0235","19"
"26km WSW of Perry, Oklahoma","2016-09-14T04:25:24Z","2.8","-97.5738","36.2172","5.77"
"56km NE of Novyy Uoyan, Russia","2016-09-14T03:56:33Z","4.9","112.365","56.5133","10"
"24km S of Boca de Yuma, Dominican Republic","2016-09-14T03:06:31Z","3.6","-68.5804","18.1613","128"
"30km ESE of Emajagua, Puerto Rico","2016-09-14T02:28:15Z","2.5","-65.633","17.8584","13"
"42km SW of Lixourion, Greece","2016-09-14T02:20:03Z","4.5","20.1525","37.8903","10"
"57km N of Isabela, Puerto Rico","2016-09-14T02:08:20Z","2.9","-67.0083","19.0242","8"
"34km ENE of Mutata, Colombia","2016-09-14T01:58:31Z","6","-76.1564","7.3775","17"
"3km SSE of Radishani, Macedonia","2016-09-13T23:32:28Z","3.1","21.47","42.03","3.2"
"243km WNW of Chichi-shima, Japan","2016-09-13T23:27:04Z","4","140.0834","28.1818","449.38"
"39km SSW of Unalaska, Alaska","2016-09-13T23:18:13Z","3","-166.664","53.528","68.1"
"44km ENE of Atka, Alaska","2016-09-13T21:24:47Z","2.7","-173.6222","52.3882","176.5"
"65km SE of Taron, Papua New Guinea","2016-09-13T21:16:49Z","4.8","153.4275","-4.906","50.39"
"52km N of Spanish Springs, Nevada","2016-09-13T20:00:03Z","3","-119.6472","40.1229","10.5"
"8km WSW of Medford, Oklahoma","2016-09-13T17:45:18Z","3.3","-97.8178","36.7819","6.784"
"42km NNW of Atka, Alaska","2016-09-13T17:44:09Z","2.6","-174.5217","52.5187","154.51"
"22km NW of Medford, Oklahoma","2016-09-13T17:38:13Z","2.5","-97.9201","36.9459","9.24"
"6km NW of The Geysers, California","2016-09-13T17:35:42Z","2.9","-122.8158333","38.811","2.72"
"86km SSW of Nikolski, Alaska","2016-09-13T17:05:38Z","2.6","-169.1775","52.1815","35.4"
"13km N of Camuy, Puerto Rico","2016-09-13T16:53:37Z","2.8","-66.8645","18.6079","18"
"80km SSW of Nikolski, Alaska","2016-09-13T16:51:55Z","4.3","-169.1403","52.2294","32.56"
"10km NW of Harper, Kansas","2016-09-13T16:18:00Z","3.2","-98.094","37.359","8.35"
"164km ENE of Eagle Village, Alaska","2016-09-13T15:22:58Z","3","-138.0091","65.4546","0.9"
"8km WSW of Medford, Oklahoma","2016-09-13T15:09:14Z","3","-97.8203","36.7791","5.781"
"13km NNE of Noatak, Alaska","2016-09-13T12:33:48Z","2.6","-162.7978","67.6767","10.1"
"6km ESE of Chickasha, Oklahoma","2016-09-13T12:16:25Z","3.1","-97.8762","35.024","4.3"
"5km ESE of Naranjito, Puerto Rico","2016-09-13T11:45:37Z","3","-66.194","18.2777","64"
"279km SW of Hanga Roa, Chile","2016-09-13T10:51:15Z","4.9","-111.663","-28.7185","10"
"3km W of Koshigaya, Japan","2016-09-13T10:12:27Z","5.2","139.7504","35.8886","77.99"
"89km SE of Akutan, Alaska","2016-09-13T09:20:11Z","3.5","-164.8736","53.5295","31.5"
"83km SW of Coquimbo, Chile","2016-09-13T08:28:56Z","4.4","-72.0488","-30.3933","18.85"
"10km WSW of San Andres, Colombia","2016-09-13T08:12:14Z","4.2","-72.9375","6.7882","156.04"
"3km SE of Piedmont, California","2016-09-13T07:50:22Z","3.54","-122.1975","37.8046667","4.02"
"87km SE of Muara Siberut, Indonesia","2016-09-13T07:41:11Z","4.4","99.8412","-2.0736","46.63"
"102km NE of Punta Cana, Dominican Republic","2016-09-13T07:40:34Z","3.2","-67.751","19.274","27"
"161km ENE of Eagle Village, Alaska","2016-09-13T07:02:53Z","4","-138.1286","65.4986","1"
"188km WNW of Saumlaki, Indonesia","2016-09-13T06:39:49Z","4.9","129.845","-7.0795","101.08"
"13km SSW of Ayios Nikolaos, Greece","2016-09-13T06:14:51Z","4.6","21.0686","37.7354","10"
"37km N of Beaver, Utah","2016-09-13T05:54:03Z","2.6","-112.5636667","38.6098333","4.11"
"5km ESE of Fairview, Oklahoma","2016-09-13T02:15:21Z","3.4","-98.4238","36.2465","5"
"5km SE of Fairview, Oklahoma","2016-09-13T02:05:48Z","3.6","-98.4322","36.2405","5"
"6km ENE of Edmond, Oklahoma","2016-09-12T23:47:03Z","2.7","-97.4148","35.6788","5"
"14km W of Pawnee, Oklahoma","2016-09-12T23:45:01Z","2.8","-96.966","36.3172","6.318"
"7km NNW of Yotsukaido, Japan","2016-09-12T23:30:40Z","4.6","140.1401","35.7096","60.07"
"Southwest Indian Ridge","2016-09-12T22:52:35Z","4.6","60.8008","-29.2169","10"
"6km SSW of Santo Tomas, Philippines","2016-09-12T22:44:15Z","4.2","125.7736","8.131","62.54"
"45km S of Port-Vila, Vanuatu","2016-09-12T22:15:51Z","4.7","168.3427","-18.1433","31.5"
"136km SSW of Ndoi Island, Fiji","2016-09-12T21:40:05Z","4.2","-179.3002","-21.7483","603.87"
"14km NW of Pawnee, Oklahoma","2016-09-12T21:39:14Z","3","-96.9089","36.4316","4.376"
"26km NE of Y, Alaska","2016-09-12T20:16:16Z","2.7","-149.4503","62.3114","43.4"
"19km W of Crescent City, California","2016-09-12T19:17:26Z","3.25","-124.3836667","41.8268333","17.53"
"27km N of Road Town, British Virgin Islands","2016-09-12T18:26:47Z","3","-64.6634","18.6581","78"
"39km N of `Alaqahdari-ye Kiran wa Munjan, Afghanistan","2016-09-12T18:20:53Z","4.3","70.7959","36.3877","136.77"
"1km NE of Skopje, Macedonia","2016-09-12T17:53:54Z","3.8","21.4494","42.0122","9.98"
"26km E of Honaunau-Napoopoo, Hawaii","2016-09-12T17:49:50Z","3.36","-155.615","19.4293333","2.912"
"168km NNW of Bereeda, Somalia","2016-09-12T17:00:13Z","4.5","50.3219","13.2144","10"
"4km E of Road Town, British Virgin Islands","2016-09-12T16:49:48Z","2.5","-64.5773","18.4104","48"
"22km N of Road Town, British Virgin Islands","2016-09-12T16:39:27Z","3.1","-64.596","18.6145","66"
"6km NNE of Dunsmuir, California","2016-09-12T16:18:40Z","2.58","-122.2393333","41.2591667","5.41"
"138km SSW of Bengkulu, Indonesia","2016-09-12T15:10:09Z","5.3","101.7522","-4.9377","9.54"
"5km NNW of Venus, Texas","2016-09-12T14:03:51Z","2.6","-97.1199","32.4775","5"
"61km E of Agrihan, Northern Mariana Islands","2016-09-12T13:39:19Z","4.7","146.2478","18.8477","85.83"
"20km E of Y, Alaska","2016-09-12T13:26:10Z","2.9","-149.4625","62.1354","42.5"
"93km NE of Punta Cana, Dominican Republic","2016-09-12T12:47:47Z","3.4","-67.7177","19.1161","7"
"3km SSW of Creshevo, Macedonia","2016-09-12T12:19:05Z","3.7","21.49","42.02","1.6"
"44km SW of Puerto El Triunfo, El Salvador","2016-09-12T11:49:23Z","4.1","-88.7968","12.9647","46.31"
"2km ENE of Langston, Oklahoma","2016-09-12T11:38:53Z","2.6","-97.2266","35.9568","6.599"
"6km S of Kyonju, South Korea","2016-09-12T11:32:55Z","5.4","129.215","35.7805","13"
"69km WSW of Rosarito, B.C., MX","2016-09-12T11:08:21Z","2.82","-117.7476667","32.193","5.86"
"14km SW of Kyonju, South Korea","2016-09-12T10:44:33Z","4.9","129.0961","35.7574","10"
"South of Java, Indonesia","2016-09-12T10:38:19Z","4.7","113.8511","-11.3046","38.82"
"9km NNW of Pawnee, Oklahoma","2016-09-12T09:57:28Z","2.6","-96.8567","36.4079","6.61"
"11km WSW of Akhisar, Turkey","2016-09-12T09:29:38Z","4.3","27.7254","38.8599","10"
"5km W of Akhisar, Turkey","2016-09-12T08:26:05Z","4.5","27.7712","38.9221","10"
"Easter Island region","2016-09-12T06:51:55Z","5.4","-112.5644","-28.7688","10"
"8km NNW of Pawnee, Oklahoma","2016-09-12T05:54:12Z","2.6","-96.8557","36.4055","5.66"
"12km SSE of Medford, Oklahoma","2016-09-12T04:53:44Z","2.5","-97.6783","36.7003","7.994"
"Southern Mid-Atlantic Ridge","2016-09-12T04:50:28Z","4.6","-13.1707","-47.621","10"
"Southwest Indian Ridge","2016-09-12T03:30:16Z","4.6","60.8365","-29.2854","10"
"200km NE of Ndoi Island, Fiji","2016-09-12T03:12:58Z","4.8","-177.578","-19.1839","539.3"
"14km SE of Esperanza, Puerto Rico","2016-09-12T03:08:30Z","2.7","-65.369","18.0037","13"
"70km SSW of Sola, Vanuatu","2016-09-12T02:33:56Z","4.4","167.4107","-14.5019","132.99"
"16km SE of Esperanza, Puerto Rico","2016-09-12T01:48:18Z","2.5","-65.361","17.9944","13"
"80km ENE of Pangai, Tonga","2016-09-12T01:33:38Z","4.6","-173.641","-19.5302","35"
"73km N of Atka, Alaska","2016-09-12T01:33:18Z","3","-174.401","52.8414","206.45"
"69km N of Hatillo, Puerto Rico","2016-09-12T01:24:21Z","3","-66.7721","19.114","37"
"15km SE of Esperanza, Puerto Rico","2016-09-12T01:08:54Z","2.6","-65.3647","18.0044","13"
"139km NNE of Vieques, Puerto Rico","2016-09-12T01:06:33Z","3.1","-65.2901","19.5729","18"
"13km SE of Esperanza, Puerto Rico","2016-09-12T00:56:11Z","3","-65.3732","18.0177","14"
"111km NNW of Kota Ternate, Indonesia","2016-09-12T00:32:10Z","4.8","126.8085","1.6185","51.79"
"4km WSW of Little Sitkin Island, Alaska","2016-09-11T22:58:10Z","2.6","178.4414","51.937","123.8"
"129km SE of Muara Siberut, Indonesia","2016-09-11T21:27:34Z","4.7","99.976","-2.4764","39.83"
"59km ESE of Sucua, Ecuador","2016-09-11T19:59:07Z","4.5","-77.664","-2.6422","105.43"
"147km WNW of Port Orford, Oregon","2016-09-11T19:10:19Z","3.4","-126.2612","43.0298","10"
"84km N of Culebra, Puerto Rico","2016-09-11T19:09:39Z","3","-65.3472","19.0645","18"
"45km N of Road Town, British Virgin Islands","2016-09-11T18:45:30Z","2.6","-64.6877","18.8213","51"
"97km SE of False Pass, Alaska","2016-09-11T17:26:12Z","2.9","-162.4809","54.1671","38.8"
"19km S of Little Sitkin Island, Alaska","2016-09-11T17:06:04Z","2.8","178.4765","51.7732","97"
"7km ESE of Chickasha, Oklahoma","2016-09-11T16:24:11Z","2.5","-97.8583","35.0288","5"
"70km WNW of Babakantonggoh, Indonesia","2016-09-11T15:35:11Z","4.7","105.0388","-6.4508","55.71"
"30km SE of Emajagua, Puerto Rico","2016-09-11T15:34:01Z","2.8","-65.6451","17.8421","16"
"30km ESE of Emajagua, Puerto Rico","2016-09-11T15:20:05Z","2.9","-65.6325","17.8642","13"
"4km S of Volcano, Hawaii","2016-09-11T15:08:50Z","2.98","-155.245","19.3875","2.816"
"71km SSW of Redoubt Volcano, Alaska","2016-09-11T15:00:20Z","3.1","-153.1158","59.8235","122.3"
"17km SSE of Amatignak Island, Alaska","2016-09-11T14:18:51Z","3.4","-179.0074","51.12","25.6"
"42km NNW of San Antonio, Puerto Rico","2016-09-11T13:32:05Z","2.5","-67.2153","18.8558","9"
"4km ENE of Skopje, Macedonia","2016-09-11T13:10:07Z","5.3","21.4809","42.0124","10"
"42km ESE of Agrihan, Northern Mariana Islands","2016-09-11T12:18:14Z","4.3","146.0181","18.5767","189.26"
"144km SSW of Merizo Village, Guam","2016-09-11T11:02:49Z","4.6","144.0939","12.0875","10"
"6km NNE of Stillwater, Oklahoma","2016-09-11T10:45:07Z","2.7","-97.0217","36.166","6.381"
"6km NNE of Stillwater, Oklahoma","2016-09-11T10:43:29Z","2.7","-97.022","36.1661","6.599"
"114km NNE of Chignik Lake, Alaska","2016-09-11T10:40:41Z","2.5","-157.8533","57.1578","16.6"
"6km NNE of Stillwater, Oklahoma","2016-09-11T09:33:07Z","2.8","-97.0225","36.1655","6.476"
"51km N of Valdez, Alaska","2016-09-11T07:44:59Z","2.9","-146.3745","61.5958","24.4"
"64km W of Anchor Point, Alaska","2016-09-11T07:02:50Z","2.7","-152.9657","59.8406","102.3"
"14km W of Akutan, Alaska","2016-09-11T05:03:01Z","2.5","-165.9881","54.1438","9.7"
"2km NW of Arachinovo, Macedonia","2016-09-11T04:58:00Z","4","21.5408","42.0452","10"
"13km NW of Pawnee, Oklahoma","2016-09-11T04:57:16Z","3.1","-96.9122","36.4219","5"
"48km NNE of Redoubt Volcano, Alaska","2016-09-11T04:32:39Z","2.5","-152.2948","60.8578","96.4"
"49km N of Road Town, British Virgin Islands","2016-09-11T04:15:00Z","3.1","-64.7013","18.8582","11"
"59km E of Namie, Japan","2016-09-11T03:22:06Z","4.5","141.6746","37.4944","42.87"
"6km SW of Volcano, Hawaii","2016-09-11T02:33:24Z","2.64","-155.278","19.3871667","2.792"
"6km SW of Volcano, Hawaii","2016-09-11T01:50:53Z","3.21","-155.2775","19.3905","2.673"
"64km E of Sutton-Alpine, Alaska","2016-09-11T01:19:42Z","2.7","-147.6499","61.685","30"
"38km ENE of Redoubt Volcano, Alaska","2016-09-11T01:00:41Z","2.5","-152.1322","60.6528","86.5"
"36km ESE of Amatignak Island, Alaska","2016-09-11T00:33:38Z","3","-178.6078","51.1638","47.5"
"2km ESE of La Playa, Puerto Rico","2016-09-10T22:52:34Z","2.5","-67.1675","18.28","16"
"34km SSE of Santa Cruz Is. (E end), CA","2016-09-10T22:27:53Z","2.94","-119.3883333","33.7486667","-0.24"
"33km NW of Lae, Papua New Guinea","2016-09-10T20:54:09Z","5","146.8147","-6.4714","76.46"
"16km S of Whitehall, Montana","2016-09-10T20:41:39Z","3.33","-112.1241667","45.7265","6.79"
"109km SE of Pondaguitan, Philippines","2016-09-10T16:29:09Z","5.3","126.8083","5.6031","83.74"
"22km E of Oliver, Canada","2016-09-10T16:16:31Z","3.9","-119.2517","49.221","6.59"
"42km WSW of Kimbe, Papua New Guinea","2016-09-10T16:08:18Z","5.1","149.7804","-5.6809","135.28"
